"rules","support","confidence","coverage","lift","count"
"{herbs} => {root vegetables}",0.00849575212393803,0.515151515151515,0.0164917541229385,4.90865800865801,17
"{herbs} => {other vegetables}",0.0079960019990005,0.484848484848485,0.0164917541229385,2.44378291733455,16
"{herbs} => {whole milk}",0.00749625187406297,0.454545454545455,0.0164917541229385,1.77993239637075,15
"{pasta} => {whole milk}",0.00699650174912544,0.466666666666667,0.0149925037481259,1.82739726027397,14
"{soft cheese} => {whole milk}",0.00699650174912544,0.482758620689655,0.0144927536231884,1.89041095890411,14
"{detergent} => {other vegetables}",0.00649675162418791,0.371428571428571,0.0174912543728136,1.87211227060094,13
"{detergent} => {whole milk}",0.0109945027486257,0.628571428571429,0.0174912543728136,2.46139222812413,22
"{semi-finished bread} => {other vegetables}",0.00649675162418791,0.333333333333333,0.0194902548725637,1.68010075566751,13
"{semi-finished bread} => {whole milk}",0.00699650174912544,0.358974358974359,0.0194902548725637,1.40569020021075,14
"{flour} => {whole milk}",0.00849575212393803,0.515151515151515,0.0164917541229385,2.01725671588685,17
"{baking powder} => {other vegetables}",0.00749625187406297,0.454545454545455,0.0164917541229385,2.29104648500114,15
"{baking powder} => {whole milk}",0.00849575212393803,0.515151515151515,0.0164917541229385,2.01725671588685,17
"{processed cheese} => {other vegetables}",0.00749625187406297,0.394736842105263,0.0189905047476262,1.98959300013257,15
"{processed cheese} => {whole milk}",0.00849575212393803,0.447368421052632,0.0189905047476262,1.75182820063858,17
"{canned fish} => {whole milk}",0.00649675162418791,0.393939393939394,0.0164917541229385,1.54260807685465,13
"{ice cream} => {whole milk}",0.00699650174912544,0.28,0.0249875062468766,1.09643835616438,14
"{misc. beverages} => {soda}",0.00899550224887556,0.36734693877551,0.024487756121939,2.2687074829932,18
"{misc. beverages} => {other vegetables}",0.00649675162418791,0.26530612244898,0.024487756121939,1.33722305042924,13
"{misc. beverages} => {whole milk}",0.00699650174912544,0.285714285714286,0.024487756121939,1.11881464914733,14
"{hard cheese} => {sausage}",0.00649675162418791,0.276595744680851,0.023488255872064,2.85292827374424,13
"{hard cheese} => {other vegetables}",0.00949525237381309,0.404255319148936,0.023488255872064,2.03756900155421,19
"{hard cheese} => {whole milk}",0.00999500249875063,0.425531914893617,0.023488255872064,1.66631969021943,20
"{cat food} => {yogurt}",0.00699650174912544,0.297872340425532,0.023488255872064,2.00014279594459,14
"{cat food} => {other vegetables}",0.00749625187406297,0.319148936170213,0.023488255872064,1.60860710649017,15
"{cat food} => {whole milk}",0.0104947526236882,0.446808510638298,0.023488255872064,1.7496356747304,21
"{specialty chocolate} => {other vegetables}",0.00899550224887556,0.260869565217391,0.0344827586206897,1.31486146095718,18
"{butter milk} => {yogurt}",0.00849575212393803,0.293103448275862,0.0289855072463768,1.96812080536913,17
"{butter milk} => {other vegetables}",0.0109945027486257,0.379310344827586,0.0289855072463768,1.91183879093199,22
"{butter milk} => {whole milk}",0.0114942528735632,0.396551724137931,0.0289855072463768,1.55283757338552,23
"{ham} => {yogurt}",0.00699650174912544,0.25,0.0279860069965017,1.67869127516779,14
